vendor_id,event_quarter,event_type,source,present,detected,detected_quarter,lead_vs_regime_change,lead_vs_revenue_realization
V0004,2024Q3,stall,jobs,True,True,2024Q2,1.0,3.0
V0004,2024Q3,stall,web,True,True,2024Q2,1.0,3.0
V0004,2024Q3,stall,spend,False,False,,,
V0005,2024Q3,acceleration,jobs,False,False,,,
V0005,2024Q3,acceleration,web,True,True,2024Q2,1.0,3.0
V0005,2024Q3,acceleration,spend,False,False,,,
V0007,2024Q4,acceleration,jobs,False,False,,,
V0007,2024Q4,acceleration,web,True,True,2024Q2,2.0,4.0
V0007,2024Q4,acceleration,spend,True,True,2024Q3,1.0,3.0
V0009,2024Q3,stall,jobs,False,False,,,
V0009,2024Q3,stall,web,True,True,2024Q1,2.0,4.0
V0009,2024Q3,stall,spend,False,False,,,
V0012,2025Q2,acceleration,jobs,True,True,2024Q4,2.0,4.0
V0012,2025Q2,acceleration,web,True,True,2024Q4,2.0,4.0
V0012,2025Q2,acceleration,spend,True,True,2025Q1,1.0,3.0
V0013,2024Q1,stall,jobs,False,False,,,
V0013,2024Q1,stall,web,False,False,,,
V0013,2024Q1,stall,spend,True,True,2024Q1,0.0,2.0
V0015,2023Q4,acceleration,jobs,False,False,,,
V0015,2023Q4,acceleration,web,True,True,2023Q4,0.0,2.0
V0015,2023Q4,acceleration,spend,True,True,2023Q4,0.0,2.0
V0016,2023Q4,acceleration,jobs,False,False,,,
V0016,2023Q4,acceleration,web,True,True,2024Q1,-1.0,1.0
V0016,2023Q4,acceleration,spend,True,True,2024Q1,-1.0,1.0
V0018,2025Q1,stall,jobs,True,True,2024Q3,2.0,4.0
V0018,2025Q1,stall,web,True,True,2025Q4,-3.0,-1.0
V0018,2025Q1,stall,spend,False,False,,,
V0022,2025Q1,stall,jobs,False,False,,,
V0022,2025Q1,stall,web,True,True,2024Q4,1.0,3.0
V0022,2025Q1,stall,spend,True,True,2024Q3,2.0,4.0
V0023,2025Q2,stall,jobs,False,False,,,
V0023,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0023,2025Q2,stall,spend,False,False,,,
V0024,2024Q2,stall,jobs,True,True,2024Q2,0.0,2.0
V0024,2024Q2,stall,web,False,False,,,
V0024,2024Q2,stall,spend,True,True,2024Q2,0.0,2.0
V0033,2024Q3,stall,jobs,True,False,,,
V0033,2024Q3,stall,web,True,False,,,
V0033,2024Q3,stall,spend,True,True,2024Q1,2.0,4.0
V0034,2025Q2,stall,jobs,True,True,2025Q1,1.0,3.0
V0034,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0034,2025Q2,stall,spend,True,True,2025Q4,-2.0,0.0
V0035,2024Q3,stall,jobs,False,False,,,
V0035,2024Q3,stall,web,True,True,2024Q2,1.0,3.0
V0035,2024Q3,stall,spend,False,False,,,
V0038,2024Q2,stall,jobs,True,True,2024Q2,0.0,2.0
V0038,2024Q2,stall,web,True,True,2024Q3,-1.0,1.0
V0038,2024Q2,stall,spend,False,False,,,
V0039,2025Q2,stall,jobs,False,False,,,
V0039,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0039,2025Q2,stall,spend,False,False,,,
V0040,2024Q2,acceleration,jobs,True,True,2024Q2,0.0,2.0
V0040,2024Q2,acceleration,web,True,True,2023Q4,2.0,4.0
V0040,2024Q2,acceleration,spend,True,True,2024Q1,1.0,3.0
V0041,2025Q1,stall,jobs,False,False,,,
V0041,2025Q1,stall,web,False,False,,,
V0041,2025Q1,stall,spend,True,True,2024Q4,1.0,3.0
V0041,2025Q3,stall,jobs,False,False,,,
V0041,2025Q3,stall,web,False,False,,,
V0041,2025Q3,stall,spend,True,True,2025Q2,1.0,3.0
V0043,2024Q4,stall,jobs,False,False,,,
V0043,2024Q4,stall,web,True,True,2024Q3,1.0,3.0
V0043,2024Q4,stall,spend,True,True,2024Q3,1.0,3.0
V0045,2024Q1,stall,jobs,False,False,,,
V0045,2024Q1,stall,web,True,True,2024Q2,-1.0,1.0
V0045,2024Q1,stall,spend,True,True,2024Q2,-1.0,1.0
V0046,2024Q1,acceleration,jobs,False,False,,,
V0046,2024Q1,acceleration,web,True,True,2024Q2,-1.0,1.0
V0046,2024Q1,acceleration,spend,False,False,,,
V0047,2025Q2,stall,jobs,True,True,2025Q2,0.0,2.0
V0047,2025Q2,stall,web,True,True,2025Q3,-1.0,1.0
V0047,2025Q2,stall,spend,True,True,2024Q4,2.0,4.0
V0049,2024Q1,stall,jobs,True,True,2024Q2,-1.0,1.0
V0049,2024Q1,stall,web,True,True,2024Q2,-1.0,1.0
V0049,2024Q1,stall,spend,False,False,,,
V0051,2025Q1,acceleration,jobs,True,True,2025Q2,-1.0,1.0
V0051,2025Q1,acceleration,web,True,False,,,
V0051,2025Q1,acceleration,spend,False,False,,,
V0053,2025Q1,stall,jobs,False,False,,,
V0053,2025Q1,stall,web,False,False,,,
V0053,2025Q1,stall,spend,True,True,2024Q3,2.0,4.0
V0053,2025Q4,stall,jobs,False,False,,,
V0053,2025Q4,stall,web,False,False,,,
V0053,2025Q4,stall,spend,True,True,2025Q3,1.0,3.0
V0055,2023Q4,acceleration,jobs,False,False,,,
V0055,2023Q4,acceleration,web,True,True,2024Q2,-2.0,0.0
V0055,2023Q4,acceleration,spend,False,False,,,
V0056,2024Q2,stall,jobs,False,False,,,
V0056,2024Q2,stall,web,True,True,2024Q2,0.0,2.0
V0056,2024Q2,stall,spend,True,True,2024Q3,-1.0,1.0
V0057,2023Q4,stall,jobs,False,False,,,
V0057,2023Q4,stall,web,True,False,,,
V0057,2023Q4,stall,spend,True,False,,,
V0057,2024Q2,stall,jobs,False,False,,,
V0057,2024Q2,stall,web,True,False,,,
V0057,2024Q2,stall,spend,True,False,,,
V0058,2023Q4,acceleration,jobs,True,False,,,
V0058,2023Q4,acceleration,web,True,True,2024Q1,-1.0,1.0
V0058,2023Q4,acceleration,spend,True,True,2023Q4,0.0,2.0
V0061,2024Q4,stall,jobs,False,False,,,
V0061,2024Q4,stall,web,True,True,2024Q4,0.0,2.0
V0061,2024Q4,stall,spend,False,False,,,
V0063,2025Q2,stall,jobs,False,False,,,
V0063,2025Q2,stall,web,True,True,2025Q2,0.0,2.0
V0063,2025Q2,stall,spend,False,False,,,
V0064,2024Q2,stall,jobs,True,True,2024Q2,0.0,2.0
V0064,2024Q2,stall,web,True,True,2023Q4,2.0,4.0
V0064,2024Q2,stall,spend,True,True,2024Q3,-1.0,1.0
V0066,2023Q4,stall,jobs,True,False,,,
V0066,2023Q4,stall,web,True,True,2023Q4,0.0,2.0
V0066,2023Q4,stall,spend,True,True,2024Q3,-3.0,-1.0
V0068,2024Q1,acceleration,jobs,False,False,,,
V0068,2024Q1,acceleration,web,True,True,2023Q4,1.0,3.0
V0068,2024Q1,acceleration,spend,False,False,,,
V0070,2024Q4,acceleration,jobs,True,True,2024Q2,2.0,4.0
V0070,2024Q4,acceleration,web,False,False,,,
V0070,2024Q4,acceleration,spend,True,True,2024Q4,0.0,2.0
V0071,2023Q4,stall,jobs,True,False,,,
V0071,2023Q4,stall,web,True,True,2023Q4,0.0,2.0
V0071,2023Q4,stall,spend,True,True,2024Q1,-1.0,1.0
V0071,2024Q3,stall,jobs,True,False,,,
V0071,2024Q3,stall,web,True,True,2024Q1,2.0,4.0
V0071,2024Q3,stall,spend,True,True,2024Q1,2.0,4.0
V0074,2024Q3,acceleration,jobs,False,False,,,
V0074,2024Q3,acceleration,web,False,False,,,
V0074,2024Q3,acceleration,spend,False,False,,,
V0076,2025Q1,acceleration,jobs,True,True,2024Q4,1.0,3.0
V0076,2025Q1,acceleration,web,True,True,2024Q3,2.0,4.0
V0076,2025Q1,acceleration,spend,False,False,,,
V0077,2024Q3,acceleration,jobs,False,False,,,
V0077,2024Q3,acceleration,web,True,True,2024Q4,-1.0,1.0
V0077,2024Q3,acceleration,spend,False,False,,,
V0081,2025Q1,stall,jobs,False,False,,,
V0081,2025Q1,stall,web,True,True,2025Q1,0.0,2.0
V0081,2025Q1,stall,spend,False,False,,,
V0083,2024Q3,stall,jobs,False,False,,,
V0083,2024Q3,stall,web,False,False,,,
V0083,2024Q3,stall,spend,False,False,,,
V0085,2024Q3,acceleration,jobs,False,False,,,
V0085,2024Q3,acceleration,web,False,False,,,
V0085,2024Q3,acceleration,spend,True,True,2024Q2,1.0,3.0
V0092,2025Q1,stall,jobs,False,False,,,
V0092,2025Q1,stall,web,True,True,2024Q3,2.0,4.0
V0092,2025Q1,stall,spend,False,False,,,
V0093,2024Q2,stall,jobs,False,False,,,
V0093,2024Q2,stall,web,True,True,2023Q4,2.0,4.0
V0093,2024Q2,stall,spend,False,False,,,
V0095,2024Q4,stall,jobs,False,False,,,
V0095,2024Q4,stall,web,True,True,2024Q3,1.0,3.0
V0095,2024Q4,stall,spend,True,True,2024Q3,1.0,3.0
V0096,2024Q3,stall,jobs,False,False,,,
V0096,2024Q3,stall,web,True,True,2024Q1,2.0,4.0
V0096,2024Q3,stall,spend,False,False,,,
V0098,2024Q3,stall,jobs,True,True,2024Q2,1.0,3.0
V0098,2024Q3,stall,web,True,True,2025Q1,-2.0,0.0
V0098,2024Q3,stall,spend,False,False,,,
V0098,2025Q3,stall,jobs,True,False,,,
V0098,2025Q3,stall,web,True,True,2025Q1,2.0,4.0
V0098,2025Q3,stall,spend,False,False,,,
V0099,2024Q3,stall,jobs,True,True,2024Q3,0.0,2.0
V0099,2024Q3,stall,web,True,True,2024Q3,0.0,2.0
V0099,2024Q3,stall,spend,False,False,,,
V0099,2025Q3,stall,jobs,True,False,,,
V0099,2025Q3,stall,web,True,False,,,
V0099,2025Q3,stall,spend,False,False,,,
V0102,2024Q4,stall,jobs,True,True,2024Q2,2.0,4.0
V0102,2024Q4,stall,web,True,True,2024Q2,2.0,4.0
V0102,2024Q4,stall,spend,False,False,,,
V0103,2025Q1,acceleration,jobs,False,False,,,
V0103,2025Q1,acceleration,web,True,True,2024Q4,1.0,3.0
V0103,2025Q1,acceleration,spend,False,False,,,
V0104,2025Q1,acceleration,jobs,False,False,,,
V0104,2025Q1,acceleration,web,True,True,2024Q3,2.0,4.0
V0104,2025Q1,acceleration,spend,True,True,2024Q4,1.0,3.0
V0105,2024Q4,stall,jobs,False,False,,,
V0105,2024Q4,stall,web,False,False,,,
V0105,2024Q4,stall,spend,False,False,,,
V0106,2025Q2,stall,jobs,True,True,2024Q4,2.0,4.0
V0106,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0106,2025Q2,stall,spend,False,False,,,
V0107,2025Q1,stall,jobs,False,False,,,
V0107,2025Q1,stall,web,True,True,2025Q1,0.0,2.0
V0107,2025Q1,stall,spend,False,False,,,
V0108,2023Q4,acceleration,jobs,False,False,,,
V0108,2023Q4,acceleration,web,True,True,2024Q1,-1.0,1.0
V0108,2023Q4,acceleration,spend,False,False,,,
V0109,2024Q2,stall,jobs,False,False,,,
V0109,2024Q2,stall,web,False,False,,,
V0109,2024Q2,stall,spend,False,False,,,
V0110,2024Q2,acceleration,jobs,False,False,,,
V0110,2024Q2,acceleration,web,True,True,2023Q4,2.0,4.0
V0110,2024Q2,acceleration,spend,False,False,,,
V0111,2024Q3,stall,jobs,False,False,,,
V0111,2024Q3,stall,web,True,True,2024Q4,-1.0,1.0
V0111,2024Q3,stall,spend,False,False,,,
V0111,2025Q1,stall,jobs,False,False,,,
V0111,2025Q1,stall,web,True,True,2024Q4,1.0,3.0
V0111,2025Q1,stall,spend,False,False,,,
V0114,2024Q4,stall,jobs,True,True,2024Q4,0.0,2.0
V0114,2024Q4,stall,web,True,True,2024Q3,1.0,3.0
V0114,2024Q4,stall,spend,False,False,,,
V0115,2024Q2,acceleration,jobs,False,False,,,
V0115,2024Q2,acceleration,web,True,True,2023Q4,2.0,4.0
V0115,2024Q2,acceleration,spend,False,False,,,
V0119,2024Q3,stall,jobs,True,True,2024Q3,0.0,2.0
V0119,2024Q3,stall,web,True,True,2024Q2,1.0,3.0
V0119,2024Q3,stall,spend,False,False,,,
V0119,2025Q2,stall,jobs,True,True,2024Q4,2.0,4.0
V0119,2025Q2,stall,web,True,True,2025Q1,1.0,3.0
V0119,2025Q2,stall,spend,False,False,,,
V0120,2024Q4,acceleration,jobs,False,False,,,
V0120,2024Q4,acceleration,web,True,True,2025Q1,-1.0,1.0
V0120,2024Q4,acceleration,spend,False,False,,,
V0121,2025Q1,acceleration,jobs,False,False,,,
V0121,2025Q1,acceleration,web,True,True,2024Q4,1.0,3.0
V0121,2025Q1,acceleration,spend,False,False,,,
V0122,2024Q2,stall,jobs,False,False,,,
V0122,2024Q2,stall,web,True,True,2024Q1,1.0,3.0
V0122,2024Q2,stall,spend,False,False,,,
V0124,2023Q4,acceleration,jobs,False,False,,,
V0124,2023Q4,acceleration,web,True,True,2023Q4,0.0,2.0
V0124,2023Q4,acceleration,spend,False,False,,,
V0126,2024Q3,stall,jobs,False,False,,,
V0126,2024Q3,stall,web,True,True,2024Q1,2.0,4.0
V0126,2024Q3,stall,spend,False,False,,,
V0126,2025Q2,stall,jobs,False,False,,,
V0126,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0126,2025Q2,stall,spend,False,False,,,
V0128,2025Q2,stall,jobs,False,False,,,
V0128,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0128,2025Q2,stall,spend,False,False,,,
V0129,2024Q1,stall,jobs,False,False,,,
V0129,2024Q1,stall,web,False,False,,,
V0129,2024Q1,stall,spend,False,False,,,
V0129,2024Q4,stall,jobs,False,False,,,
V0129,2024Q4,stall,web,False,False,,,
V0129,2024Q4,stall,spend,False,False,,,
V0130,2024Q1,stall,jobs,False,False,,,
V0130,2024Q1,stall,web,True,True,2024Q2,-1.0,1.0
V0130,2024Q1,stall,spend,True,True,2024Q1,0.0,2.0
V0130,2024Q4,stall,jobs,False,False,,,
V0130,2024Q4,stall,web,True,True,2024Q2,2.0,4.0
V0130,2024Q4,stall,spend,True,True,2024Q4,0.0,2.0
V0131,2024Q3,acceleration,jobs,False,False,,,
V0131,2024Q3,acceleration,web,True,True,2024Q1,2.0,4.0
V0131,2024Q3,acceleration,spend,False,False,,,
V0134,2025Q1,stall,jobs,False,False,,,
V0134,2025Q1,stall,web,True,True,2024Q4,1.0,3.0
V0134,2025Q1,stall,spend,False,False,,,
V0134,2025Q4,stall,jobs,False,False,,,
V0134,2025Q4,stall,web,True,True,2025Q4,0.0,2.0
V0134,2025Q4,stall,spend,False,False,,,
V0135,2024Q2,stall,jobs,False,False,,,
V0135,2024Q2,stall,web,True,True,2023Q4,2.0,4.0
V0135,2024Q2,stall,spend,False,False,,,
V0137,2024Q2,stall,jobs,False,False,,,
V0137,2024Q2,stall,web,True,True,2023Q4,2.0,4.0
V0137,2024Q2,stall,spend,False,False,,,
V0137,2024Q4,stall,jobs,False,False,,,
V0137,2024Q4,stall,web,True,True,2025Q1,-1.0,1.0
V0137,2024Q4,stall,spend,False,False,,,
V0140,2025Q2,stall,jobs,False,False,,,
V0140,2025Q2,stall,web,False,False,,,
V0140,2025Q2,stall,spend,True,True,2025Q2,0.0,2.0
V0140,2025Q4,stall,jobs,False,False,,,
V0140,2025Q4,stall,web,False,False,,,
V0140,2025Q4,stall,spend,True,True,2025Q2,2.0,4.0
V0141,2024Q2,stall,jobs,False,False,,,
V0141,2024Q2,stall,web,True,True,2023Q4,2.0,4.0
V0141,2024Q2,stall,spend,True,True,2024Q1,1.0,3.0
V0142,2024Q4,stall,jobs,False,False,,,
V0142,2024Q4,stall,web,False,False,,,
V0142,2024Q4,stall,spend,False,False,,,
V0148,2024Q1,acceleration,jobs,True,False,,,
V0148,2024Q1,acceleration,web,True,True,2024Q2,-1.0,1.0
V0148,2024Q1,acceleration,spend,False,False,,,
V0150,2024Q2,stall,jobs,False,False,,,
V0150,2024Q2,stall,web,True,True,2025Q2,-4.0,-2.0
V0150,2024Q2,stall,spend,False,False,,,
V0153,2025Q2,acceleration,jobs,False,False,,,
V0153,2025Q2,acceleration,web,True,True,2025Q2,0.0,2.0
V0153,2025Q2,acceleration,spend,False,False,,,
V0154,2024Q3,acceleration,jobs,False,False,,,
V0154,2024Q3,acceleration,web,False,False,,,
V0154,2024Q3,acceleration,spend,False,False,,,
V0155,2024Q2,acceleration,jobs,False,False,,,
V0155,2024Q2,acceleration,web,True,True,2024Q2,0.0,2.0
V0155,2024Q2,acceleration,spend,False,False,,,
V0156,2024Q3,stall,jobs,False,False,,,
V0156,2024Q3,stall,web,True,True,2024Q4,-1.0,1.0
V0156,2024Q3,stall,spend,False,False,,,
V0157,2025Q2,stall,jobs,False,False,,,
V0157,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0157,2025Q2,stall,spend,False,False,,,
V0158,2024Q1,acceleration,jobs,False,False,,,
V0158,2024Q1,acceleration,web,True,True,2023Q4,1.0,3.0
V0158,2024Q1,acceleration,spend,False,False,,,
V0159,2024Q2,stall,jobs,True,True,2024Q2,0.0,2.0
V0159,2024Q2,stall,web,True,True,2024Q3,-1.0,1.0
V0159,2024Q2,stall,spend,False,False,,,
V0161,2024Q2,acceleration,jobs,True,True,2024Q2,0.0,2.0
V0161,2024Q2,acceleration,web,True,True,2024Q1,1.0,3.0
V0161,2024Q2,acceleration,spend,False,False,,,
V0162,2025Q2,acceleration,jobs,False,False,,,
V0162,2025Q2,acceleration,web,True,True,2024Q4,2.0,4.0
V0162,2025Q2,acceleration,spend,False,False,,,
V0163,2024Q1,stall,jobs,False,False,,,
V0163,2024Q1,stall,web,True,True,2024Q1,0.0,2.0
V0163,2024Q1,stall,spend,True,True,2023Q4,1.0,3.0
V0164,2024Q4,stall,jobs,True,True,2024Q4,0.0,2.0
V0164,2024Q4,stall,web,True,True,2025Q2,-2.0,0.0
V0164,2024Q4,stall,spend,False,False,,,
V0165,2024Q4,stall,jobs,False,False,,,
V0165,2024Q4,stall,web,True,True,2024Q3,1.0,3.0
V0165,2024Q4,stall,spend,False,False,,,
V0167,2025Q1,stall,jobs,False,False,,,
V0167,2025Q1,stall,web,True,True,2024Q3,2.0,4.0
V0167,2025Q1,stall,spend,True,True,2024Q4,1.0,3.0
V0168,2024Q2,stall,jobs,False,False,,,
V0168,2024Q2,stall,web,True,True,2024Q2,0.0,2.0
V0168,2024Q2,stall,spend,False,False,,,
V0169,2024Q4,acceleration,jobs,True,True,2024Q4,0.0,2.0
V0169,2024Q4,acceleration,web,True,True,2024Q4,0.0,2.0
V0169,2024Q4,acceleration,spend,False,False,,,
V0170,2024Q4,acceleration,jobs,True,True,2025Q1,-1.0,1.0
V0170,2024Q4,acceleration,web,True,False,,,
V0170,2024Q4,acceleration,spend,False,False,,,
V0171,2024Q4,acceleration,jobs,True,True,2024Q2,2.0,4.0
V0171,2024Q4,acceleration,web,True,True,2024Q2,2.0,4.0
V0171,2024Q4,acceleration,spend,False,False,,,
V0172,2024Q4,acceleration,jobs,True,True,2024Q2,2.0,4.0
V0172,2024Q4,acceleration,web,False,False,,,
V0172,2024Q4,acceleration,spend,False,False,,,
V0177,2024Q4,stall,jobs,True,True,2024Q4,0.0,2.0
V0177,2024Q4,stall,web,True,True,2024Q4,0.0,2.0
V0177,2024Q4,stall,spend,False,False,,,
V0178,2024Q4,stall,jobs,False,False,,,
V0178,2024Q4,stall,web,True,True,2025Q1,-1.0,1.0
V0178,2024Q4,stall,spend,True,True,2024Q3,1.0,3.0
V0181,2024Q4,stall,jobs,True,True,2024Q4,0.0,2.0
V0181,2024Q4,stall,web,True,True,2024Q3,1.0,3.0
V0181,2024Q4,stall,spend,False,False,,,
V0182,2025Q2,acceleration,jobs,True,True,2024Q4,2.0,4.0
V0182,2025Q2,acceleration,web,True,True,2025Q1,1.0,3.0
V0182,2025Q2,acceleration,spend,False,False,,,
V0185,2024Q4,acceleration,jobs,False,False,,,
V0185,2024Q4,acceleration,web,True,True,2025Q1,-1.0,1.0
V0185,2024Q4,acceleration,spend,False,False,,,
V0186,2025Q2,stall,jobs,False,False,,,
V0186,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0186,2025Q2,stall,spend,False,False,,,
V0187,2024Q4,stall,jobs,False,False,,,
V0187,2024Q4,stall,web,False,False,,,
V0187,2024Q4,stall,spend,False,False,,,
V0188,2025Q1,stall,jobs,True,False,,,
V0188,2025Q1,stall,web,True,True,2024Q3,2.0,4.0
V0188,2025Q1,stall,spend,False,False,,,
V0189,2024Q2,stall,jobs,True,True,2024Q2,0.0,2.0
V0189,2024Q2,stall,web,True,True,2024Q1,1.0,3.0
V0189,2024Q2,stall,spend,False,False,,,
V0191,2025Q1,acceleration,jobs,True,True,2025Q2,-1.0,1.0
V0191,2025Q1,acceleration,web,True,False,,,
V0191,2025Q1,acceleration,spend,True,False,,,
V0192,2024Q2,stall,jobs,False,False,,,
V0192,2024Q2,stall,web,True,True,2024Q3,-1.0,1.0
V0192,2024Q2,stall,spend,True,True,2023Q4,2.0,4.0
V0194,2023Q4,stall,jobs,False,False,,,
V0194,2023Q4,stall,web,True,True,2024Q1,-1.0,1.0
V0194,2023Q4,stall,spend,True,True,2024Q1,-1.0,1.0
V0194,2024Q4,stall,jobs,False,False,,,
V0194,2024Q4,stall,web,True,True,2024Q4,0.0,2.0
V0194,2024Q4,stall,spend,True,True,2024Q2,2.0,4.0
V0195,2025Q1,acceleration,jobs,True,True,2024Q4,1.0,3.0
V0195,2025Q1,acceleration,web,True,True,2025Q1,0.0,2.0
V0195,2025Q1,acceleration,spend,True,True,2024Q3,2.0,4.0
V0196,2024Q2,acceleration,jobs,True,True,2024Q2,0.0,2.0
V0196,2024Q2,acceleration,web,True,True,2024Q3,-1.0,1.0
V0196,2024Q2,acceleration,spend,False,False,,,
V0199,2024Q3,stall,jobs,False,False,,,
V0199,2024Q3,stall,web,False,False,,,
V0199,2024Q3,stall,spend,False,False,,,
V0200,2024Q1,stall,jobs,False,False,,,
V0200,2024Q1,stall,web,True,True,2024Q2,-1.0,1.0
V0200,2024Q1,stall,spend,False,False,,,
V0200,2025Q1,stall,jobs,False,False,,,
V0200,2025Q1,stall,web,True,True,2025Q1,0.0,2.0
V0200,2025Q1,stall,spend,False,False,,,
V0201,2024Q4,stall,jobs,False,False,,,
V0201,2024Q4,stall,web,True,True,2025Q2,-2.0,0.0
V0201,2024Q4,stall,spend,False,False,,,
